RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.435D-02  4.955D-01
    1    4     1     0  ---    2  1.8D-01  3.1D-03  2.053D-02  4.955D-01
    2    5     0     0  con    0  1.0D+00  2.6D-03  9.437D-03  4.954D-01
    3    6     0     0  con    0  1.0D+00  2.3D-03  3.360D-03  4.954D-01
    4    7     0     0  con    0  1.0D+00  7.5D-04  2.331D-03  4.954D-01
    5    8     0     0  con    0  1.0D+00  1.1D-03  2.348D-03  4.954D-01
    6    9     0     0  con    0  1.0D+00  3.4D-03  4.813D-03  4.954D-01
    7   10     0     0  con    0  1.0D+00  9.1D-03  9.511D-03  4.954D-01
    8   11     0     0  con    0  1.0D+00  2.1D-02  1.431D-02  4.954D-01
    9   12     0     0  con    0  1.0D+00  3.6D-02  1.526D-02  4.953D-01
   10   13     0     0  con    0  1.0D+00  6.5D-02  1.538D-02  4.953D-01
   11   14     0     0  con    0  1.0D+00  4.2D-02  8.023D-03  4.953D-01
   12   15     0     0  con    0  1.0D+00  6.9D-03  1.990D-03  4.952D-01
   13   16     0     0  con    0  1.0D+00  2.1D-03  1.793D-03  4.952D-01
   14   17     0     0  con    0  1.0D+00  4.5D-03  2.864D-03  4.952D-01
   15   18     0     0  con    0  1.0D+00  2.6D-03  4.899D-03  4.952D-01
   16   19     0     0  con    0  1.0D+00  4.9D-03  6.606D-03  4.952D-01
   17   20     0     0  con    0  1.0D+00  4.2D-02  1.351D-02  4.952D-01
   18   21     0     0  con    0  1.0D+00  9.5D-02  2.176D-02  4.951D-01
   19   22     0     0  con    0  1.0D+00  2.8D-01  3.536D-02  4.949D-01
   20   23     0     0  con    0  1.0D+00  6.5D-01  5.128D-02  4.945D-01
   21   24     0     0  con    0  1.0D+00  4.3D-01  5.179D-02  4.942D-01
   22   26     0     0  con    1  4.0D-01  2.7D-01  3.206D-02  4.940D-01
   23   27     0     0  con    0  1.0D+00  1.7D-01  6.350D-02  4.938D-01
   24   28     0     0  con    0  1.0D+00  2.4D-01  6.506D-02  4.937D-01
   25   29     0     0  con    0  1.0D+00  1.2D-01  2.882D-03  4.936D-01
   26   30     0     0  con    0  1.0D+00  2.1D-02  4.823D-03  4.936D-01
   27   31     0     0  con    0  1.0D+00  2.5D-02  8.338D-03  4.936D-01
   28   32     0     0  con    0  1.0D+00  7.6D-02  1.457D-02  4.936D-01
   29   33     0     0  con    0  1.0D+00  7.8D-02  1.004D-02  4.936D-01
   30   34     0     0  con    0  1.0D+00  7.0D-02  1.544D-03  4.936D-01
   31   35     0     0  con    0  1.0D+00  2.1D-02  5.140D-04  4.936D-01
   32   36     0     0  con    0  1.0D+00  5.2D-03  2.425D-04  4.936D-01
   33   37     0     0  con    0  1.0D+00  1.7D-04  5.096D-05  4.936D-01
   34   38     0     0  con    0  1.0D+00  3.2D-04  6.116D-05  4.936D-01
   35   39     0     0  con    0  1.0D+00  4.8D-04  5.095D-05  4.936D-01
   36   40     0     0  con    0  1.0D+00  1.7D-03  1.262D-04  4.936D-01
   37   41     0     0  con    0  1.0D+00  2.6D-03  3.947D-04  4.936D-01
   38   42     0     0  con    0  1.0D+00  6.1D-04  1.320D-04  4.936D-01
   39   43     0     0  con    0  1.0D+00  5.1D-04  7.613D-05  4.936D-01
   40   44     0     0  con    0  1.0D+00  6.4D-04  2.746D-04  4.936D-01
   41   45     0     0  con    0  1.0D+00  1.2D-03  5.193D-04  4.936D-01
   42   46     0     0  con    0  1.0D+00  3.5D-03  8.460D-04  4.936D-01
   43   47     0     0  con    0  1.0D+00  9.2D-03  2.478D-03  4.936D-01
   44   48     0     0  con    0  1.0D+00  8.5D-03  1.564D-03  4.936D-01
   45   49     0     0  con    0  1.0D+00  1.5D-02  1.288D-03  4.936D-01
   46   50     0     0  con    0  1.0D+00  3.7D-02  3.216D-03  4.936D-01
   47   51     0     0  con    0  1.0D+00  7.8D-02  5.422D-03  4.936D-01
   48   52     0     0  con    0  1.0D+00  1.8D-01  8.167D-03  4.936D-01
   49   53     0     0  con    0  1.0D+00  4.2D-01  1.156D-02  4.936D-01
   50   54     0     0  con    0  1.0D+00  7.8D-01  1.077D-02  4.935D-01
   51   56     0     0  con    1  3.6D-01  4.9D-01  1.318D-02  4.935D-01
   52   57     0     0  con    0  1.0D+00  1.1D+00  1.050D-02  4.935D-01
   53   58     0     0  con    0  1.0D+00  1.1D+00  1.682D-02  4.935D-01
   54   59     0     0  con    0  1.0D+00  3.2D-01  9.393D-03  4.935D-01
   55   60     0     0  con    0  1.0D+00  5.0D-02  3.838D-03  4.935D-01
   56   61     0     0  con    0  1.0D+00  1.0D-01  2.448D-03  4.935D-01
   57   62     0     0  con    0  1.0D+00  5.7D-02  5.124D-04  4.935D-01
   58   63     0     0  con    0  1.0D+00  1.4D-02  3.565D-04  4.935D-01
   59   64     0     0  con    0  1.0D+00  2.4D-02  1.342D-03  4.935D-01
   60   65     0     0  con    0  1.0D+00  3.2D-02  8.202D-04  4.935D-01
   61   66     0     0  con    0  1.0D+00  9.5D-03  3.292D-04  4.935D-01
